title,index,page,about,ingridients,preparation,nutrition per 100g of recipe,energy(kcal),fat(g),carbohydrates(g),proteins(g),fibre(g),vitamin A(mcg),iron(mg),zinc(mg),F_factor_est
"Busara
(Whole Maize flour and Finger Millet porridge)",15018,72,"A typically traditional recipe among the Kuria?s, Busara is a very special porridge. Prepared from keenly
sprouted finger millet grains, Busara has a distinct flavour and is served traditionally in a gourd. It is given
as a special drink to lactating mothers. To date, Busara is the king of porridge in Kuria.","maize flour
finger millet flour
sprouted finger millet flour
water","Preparation 5 minutes | Cooking 2 hours | Serves 4
?  Heat 1 1/2 cups of water.
?  Put the sprouted finger millet flour and 1 1/2 cups of
hot water. Swirl the mixture and cover for 5 minutes.
?  Mix the remaining dry ingredients (pure finger
millet flour and whole maize flour).
?  Add 6 cups of water into the dry ingredients and
stir to achieve a smooth paste.
?  In a cooking pot, add the rest of the water (13
cups) and bring to a boil.
?  Add the paste into the boiling water, stir and bring
to a boil. Cook for 2 minutes.
?  Add the cooked porridge mixture to the sprouted
millet mixture in the gourd and stir.
?  Cover the gourd and set it aside for 1 hour 30
minutes.
?  Serve cold.","Energy 170 kJ/ 40 kcal | Fat 0.3 g | Carbohydrates 7.3 g | Protein 1 g | Fibre 2.5 g
Vitamin A 0 mcg | Iron 1.9 mg | Zinc 0.22 mg",40,0.3,7.3,1,2.5,0,1.9,0.22,0.5
"Wheat Flour Porridge
(Uji wa Ngano)",15136,74,"The Nubian community in Kenya consider this recipe special to infant feeding. It is enriched with peanut
butter and sugar to give a smooth sweet taste.","wheat flou
water
sugar
peanut butter","Preparation 5 minutes | Cooking 15 minutes | 
Serves 4
?  Put 4 cups of water into a pot and bring to a boil.
?  Mix the wheat flour and 1 1/2 cups of water in a
separate bowl to a smooth consistency.
?  Add flour mixture into the boiling water and stir
until it starts to bubble.
?  Mix the peanut butter with 1/2 cup of water and
add gradually into the boiling porridge while
stirring.
?  Boil for 3 minutes and add sugar.
?  Simmer for 4 minutes and serve.","Energy 468 kJ/ 111 kcal | Fat 3.9 g | Carbohydrates 16.1 g | Protein 2.5 g | Fibre 0.9 g
Vitamin A 7 mcg | Iron 0.9 mg | Zinc 0.24 mg",111,3.9,16.1,2.5,0.9,7,0.9,0.24,0.5
"Pilau
(Spiced Rice)",15036,78,"Pilau is the king of traditional rice cuisine among the Swahili community. Culturally, it is a must cook dish
on Friday particularly during lunch. It is enjoyed by the entire family and often served with tomatoes, onions and chillies salad commonly known as (?kachumbari? or salsa) and accompanied with a ripe banana.
This tastefully spiced dish is characterized by whole potatoes and meat chunks as key ingredients.","white rice
beef
cardamom
cinnamon
black peppe
cloves
salt
cumin
potatoes
onions
garlic
ginger
green capsicum
coriander
water
cooking oil","Preparation 20 minutes | Cooking 1 hour | Serves 
4
?  Cut meat into medium size chunks.
?  Boil the meat in a large cooking pot with all the
water for 30 minutes, drain the water and set
both meat and water aside.
?  Prepare and chop onions and potatoes, grate
capsicum, pound coriander, crush garlic and
ginger.
?  Place each prepared ingredient in small separate
bowls.
?  Toast cumin seeds under medium heat on a dry
pan until they start to brown. Remove from the
heat and grind.
?  Toast cardamom, cinnamon, cloves and black
pepper together until they produce an aroma.
Grind them.
?  Put oil into the pan used to boil the meat.
?  Add onions into the hot oil and cook for 5 minutes until they brown (a golden-brown colour).
?  Add ginger and garlic. Stir.
?  Add all browned spices; cumin, black pepper,
cloves, cinnamon, cardamom after 3 minutes.
?  Add capsicum, coriander and potatoes after 1
minute and stir. Meanwhile, wash the rice.
?  Add rice and salt after 3 minutes and stir in to
properly mix the ingredients.
?  Add water drained from boiling the meat, stir the
rice and bring the mixture to boil for 25 minutes.
?  Add the cooked meat to the boiling mixture.
Cook for 30 minutes and serve.","Energy 895 kJ/213 kcal | Fat 9.4 g | Carbohydrates 24.8 g | Protein 6.9 g | Fibre 1.1 g
Vitamin A 5 mcg | Iron 1.3 mg | Zinc 1.24 mg",213,9.4,24.8,6.9,1.1,5,1.3,1.24,0.5
"Mseto wa Maharagwe
 (Rice with Beans)",15038,80,"?Mseto wa Maharagwe? is the Swahili name for rice that is made with beans in one pot. It is a common
recipe among many communities in Kenya. Mainly prepared as a main meal during lunch time, it is eaten
by the whole family. Sometimes, this dish is eaten for supper.","kidney beans
water
white rice
onion
tomatoes
cooking oil
salt","Preparation 2 hours 45 minutes | Cooking 3 hours 
45 minutes | Serves 6
?  Soak the beans in 13 1/4 cups of water for 2 hours
35 minutes.
?  Boil the soaked beans for 3 hours.
?  Peel, wash and cut onions and tomatoes separately.
?  Fry the onions in cooking oil until golden-brown,
add the tomatoes until they have cooked down to
a paste.
?  Add salt to taste.
?  Add the previously boiled beans and stir until
evenly mixed and well coated with the tomatoes.
?  Add 8 cups of water and let it boil.
?  Wash rice until water runs clear.
?  Add rice. When it starts boiling, reduce fire and let
it cook on low heat for 20 minutes.
?  Remove and serve hot","Energy 807 kJ/ 193 kcal | Fat 7.9 g | Carbohydrates 23.5 g | Protein 5 g | Fibre 3.8 g
Vitamin A 3 mcg | Iron 1.3 mg | Zinc 0.76 mg",193,7.9,23.5,5,3.8,3,1.3,0.76,0.5
"Mseto wa Ndengu
(Rice with Green Grams)",15037,82,"This recipe is named in Swahili ?Mseto wa Ndengu? meaning a mix of green grams and rice. It is uniquely
prepared using freshly squeezed coconut milk. Very popular in the Kenyan coastal region, it is served to
infants and adults alike as a main meal during lunch or dinner. In other communities, this recipe is prepared without coconut milk.","white rice
green grams
coconut milk
onion
salt
water","Preparation 15 minutes | Cooking 1 hour 30 minutes | 
Serves 6
?  Boil the green grams in 6 cups of water for 1 hour and
set aside.
?  Prepare and finely chop the onions.
?  In a separate cooking pot, add 7 cups of water.
?  Add chopped onion and salt to the water and bring to a
boil for 10 minutes.
?  Add the rice to the boiling mixture and cook until the
water starts to dry up.
?  Add the green grams and reduce heat. Cook for 8 minutes.
?  Add the coconut milk and stir after 2 minutes.
?  Leave covered over very low heat to dry for 10 minutes.
?  Turn off the heat and serve hot.","Energy 433 kJ/ 103 kcal  | Fat 1.3 g  | Carbohydrates 18.4 g  | Protein 3.7 g  | Fibre 1.5 g  
Vitamin A 1 mcg  | Iron 0.8 mg  | Zinc 0.48 mg",103,1.3,18.4,3.7,1.5,1,0.8,0.48,0.5
Swahili Biryani Rice,15066,84,"This dish is common among the Swahili community in Kenya. The cuisine is also meat based and special
emphasis is given to finding the right kinds of rice, spices, meat and herbs. It is simply steamed rice eaten
with Biryani stew. It is particularly made using the fragrant species of rice. This colourful dish can be served
for lunch, dinner or during wedding occasions.","white rice
water
food colour powder, egg yellow
salt
cooking oil","Preparation 5 minutes | Cooking 25 minutes | 
Serves 4
?  Take out 2 tablespoons of water and put the rest of
the water into a cooking pot, add salt and bring to a
boil.
?  Wash the rice and add into the boiling water. Cover
to cook for 10 minutes.
?  Meanwhile mix the food colour in the 2 tablespoons
of water.
?  Add oil and cook for another 2 minutes.
?  Add the food colour and simmer for 13 minutes.
?  Remove from heat.
?  Serve with biryani stew.","Energy 641 kJ/ 152 kcal | Fat 3.2 g | Carbohydrates 27.9 g | Protein 2.7 g | Fibre 0.3 g
Vitamin A 0 mcg | Iron 0.3 mg | Zinc 0.47 mg",152,3.2,27.9,2.7,0.3,0,0.3,0.47,0.5
"Wali wa Kuchemshwa
(Boiled Rice)",15074,86,"One of the simplest ways that rice is cooked in Kenya is by boiling. This recipe is common in different
communities in Kenya. It is eaten by the entire family often accompanied by a protein rich stew and vegetables","white rice
salt
cooking oil
water","Preparation time 5 minutes | Cooking 40 minutes 
? Serves 4
?  Sort and wash the rice.
?  In a cooking pot, boil all the water for 2 minutes.
?  Add salt and rice. Stir and boil for 10 more minutes.
?  Reduce the heat and cover to simmer for 16
minutes.
?  Add cooking oil to the rice and stir.
?  Cover the rice and allow to simmer until it is
ready.
?  Cover with aluminium foil.
?  Remove from the heat when ready and serve.","Energy 584 kJ/ 138 kcal | Fat 2.0 g | Carbohydrates 27.2 g | Protein 2.7 g | Fibre 0.2 g
Vitamin A 0 mcg | Iron 0.3 mg | Zinc 0.46 mg",138,2,27.2,2.7,0.2,0,0.3,0.46,0.5
"Wali wa Yasmin
(Onion Fried Rice)",15075,88,"Commonly known as Wali wa Yasmin, this recipe is typical to the Swahili community. It is mainly prepared
during special occasions. It is usually served as a main course accompanied by a variety of stews or broths.
It is enjoyed by the whole family.","white rice
onions
cooking oil
salt
water","Preparation 35 minutes | Cooking 45 minutes | 
Serves 4
?  Wash the rice and soak in 2 cups of water for 30
minutes. Drain and discard the water.
?  Peel, wash and chop the onions and fry them in a
separate pan until golden brown.
?  Boil 5 1/2 cups of water in a pot.
?  Add salt and the rice into the boiling water. Cover
to cook for 10 minutes.
?  Add onions with the oil with which it was fried in
to the rice.
?  Cover with aluminium foil and simmer for 11
minutes.
?  Remove from fire.","Energy 779 kJ/ 185 kcal | Fat 5.1 g | Carbohydrates 31.2 g | Protein 3.2 g | Fibre 0.6 g
Vitamin A 0 mcg | Iron 0.5 mg | Zinc 0.53 mg",185,5.1,31.2,3.2,0.6,0,0.5,0.53,0.5
"Mseto wa Viazi
(Potatoes in rice)",15094,90,"This is a common recipe among Kenyan communities particularly those living in the agricultural areas. It
is eaten as a main dish and can be accompanied by a vegetable side dish. Mseto wa viazi is a very basic
rice dish and is loved for its ease of preparation. It is normally eaten by the entire family and serves as an
infant dish as well","potatoes
carrots
onion
tomato
cooking fat
white rice
water
salt","Preparation 10 minutes | Cooking 1 hour | 
Serves 4
?  Peel, wash and cut the potatoes into cubes.
?  Peel, wash and chop the onions; wash and cut
the tomatoes.
?  Peel, wash and grate the carrots.
?  Heat the oil in a cooking pot, add the onions
and cook until golden brown.
?  Add tomatoes, salt and stir; cook until tender.
?  Add potatoes and stir. Add 1 1/3 cups of water;
bring it to a boil.
?  Add the grated carrots after 6 minutes.
?  Add rest of water (10 cups), stir and bring the
mixture to a boil.
?  Wash the rice and set aside.
?  Add the rice to the boiling mixture and stir.
?  Leave the mixture to boil until all the water
dries up","Energy 469 kJ/ 111 kcal | Fat 1.9 g | Carbohydrates 21.1 g | Protein 2.2 g | Fibre 0.5 g
Vitamin A 2 mcg | Iron 0.4 mg | Zinc 0.38 mg",111,1.9,21.1,2.2,0.5,2,0.4,0.38,0.7
"Steamed Rice
(Wali wa Mvuke)",15129,92,"The special step of soaking rice in this recipe gives a deliciously fluffy dish. Steamed rice is usually accompanied by a variety of stews including legume based stews. It is common among Kenyan Indians and the
Swahilis. Usually eaten by the entire family and can serve as part of infant feeding","white rice
water
salt","Preparation 35 minutes | Cooking 30 minutes | Serves 4
?  Sort and soak the rice in 2 cups of water for 30 minutes.
?  Drain and discard the water.
?  Put the soaked rice into a cooking pot, add the rest of
the water (2 2/3 cups) and salt.
?  Bring to a boil and cook for 20 minutes.
?  Drain the water when the rice is semi-cooked.
?  Steam for 10 minutes on low heat.
?  Remove from heat and serve.","Energy 513 kJ/ 121 kcal  | Fat 0.3 g  | Carbohydrates 26.7 g |  Protein 2.6 g  | Fibre 0.2 g
Vitamin A 0 mcg |  Iron 0.3 mg | Zinc 0.45 mg",121,0.3,26.7,2.6,0.2,0,0.3,0.45,0.5
"Mcheleng
(Rice with milk)",15116,94,"This creamy smooth dish is unique to the Kalenjin community and is commonly known as ?mcheleng?. It is
made with milk and milk cream. Loved for its convenience, it is enjoyed by the entire family but mainly a
delicacy for children. It is eaten mainly as a lunch or dinner dish often accompanied by a meat or legume
stews.","white rice
water
milk
milk cream, cow
salt","Preparation 10 minutes | Cooking 30 minutes | Serves 4
?  Put milk, all the water and cream into a cooking pot.
?  Add salt and bring the mixture to a boil.
?  Add rice and cook for 20 minutes or until all the liquid
dries up.
?  Remove from heat and cover.
?  Serve while hot.","Energy 74 kJ/ 176 kcal |  Fat 5.7 g | Carbohydrates 27.2 g  | Protein 3.9 g  | Fibre 0.2 g
Vitamin A 44 mcg |  Iron 0.4 mg  | Zinc 0.64 mg",176,5.7,27.2,3.9,0.2,44,0.4,0.64,0.5
"Mukimo
(Fresh Maize, Potato & Pumpkin Leaves)",15057,96,"This is a common dish among the Kikuyu, Meru and Embu communities. Often eaten for lunch or dinner, it
can be served with meat stew. This dish is served as a main meal to the whole family","potatoes
pumpkin leaves
green maize
water
salt","Preparation 15 minutes | Cooking 1 hour 15 minutes | Serves 4
?  Peel the potatoes and wash.
?  Wash the pumpkin leaves and chop finely.
?  Put 2 cups of water into a pot. Add the potatoes,
pumpkin leaves and salt.
?  Cover the pot and boil the mixture for 20 minutes.
?  Add the boiled maize and cover to cook for 10
minutes.
?  Remove from fire and mash to serve.","Energy 457 kJ/ 109 kcal  | Fat 1.0 g |  Carbohydrates 18.5 g  | Protein 3 g  | Fibre 6.8 g
Vitamin A 14 mcg | Iron 1.6 mg  | Zinc 0.93 mg",109,1,18.5,3,6.8,14,1.6,0.93,0.7
"Mukimo
 (Maize, Beans, Potatoes & Pumpkin Leaves)",15054,100,"This recipe is a family dish common among the Kikuyu, Meru and Embu communities. It is served mainly
for lunch or dinner.","potatoes
pumpkin leaves
white maize and kidney
beans
water
salt","Preparation 15 minutes | Cooking 1 hour | 
Serves 4
?  Peel, wash and cut the potatoes.
?  Cut the pumpkin leaves.
?  Meanwhile, measure 7 1/2 cups of previously
boiled maize and beans mixture (the ratio of
maize to beans is 1:2).
?  Put all the water into the empty cooking vessel. Add potatoes and salt.
?  Boil the potatoes for 20 minutes and add the
cut pumpkin leaves. Cover the pot and cook
for 2 minutes.
?  Add the cooked maize-bean mixture and cover to cook for 20 minutes.
?  Remove from heat and mash the mixture.
?  Serve while hot.","Energy 498 kJ/ 118 kcal  | Fat 0.7 g  | Carbohydrates 20.5 g  | Protein 5 g  | Fibre 4.8 g  
Vitamin A 4 mcg  | Iron 2.0 mg  | Zinc 0.74 mg",118,0.7,20.5,5,4.8,4,2,0.74,0.7
"Mukimo wa Njahi
(Black Beans, Green Bananas & Potatoes)",15059,102,"This is a delicacy among the Kikuyu community particularly in Nyeri. Commonly referred to as ?Mukimo
wa Njahi?, this dish was traditionally prepared for lactating mothers and during occasions like dowry ceremonies. In modern times it remains important as a family dish mainly served during lunch or dinner.","potatoes
green bananas
njahi,
dolichos lablab,
water
salt","Preparation 20 minutes | Cooking 4 hours | Serves 4
?  Boil 2 1/2 cups of njahi (dolichos lablab) in 21 cups of
water for 3 hours.
?  Peel and wash the potatoes and green bananas in separate bowls, chop them.
?  Put the rest of the water into a separate cooking pot.
?  Add the chopped potatoes, green bananas and salt.
?  Boil for 10 minutes.
?  Add the cooked black beans, cover and cook for 20
minutes.
?  Remove from fire and mash.","Energy 693 kJ/ 164 kcal | Fat 0.6 g | Carbohydrates 26.5 g | Protein 9.5 g | Fibre 7.2 g
Vitamin A 0 mcg | Iron 3.2 mg | Zinc 1.06 mg",164,0.6,26.5,9.5,7.2,0,3.2,1.06,0.6
"Mukimo wa Njahi 
(Raw & Ripe Bananas)",15062,104,"This sweet Mukimo wa Njahi is prepared using ripe banana typical among the Kikuyu community. It was
prepared mainly for lactating mothers and during dowry ceremonies. To date, this remains an important
recipe among the Kikuyu community and is served mainly during Lunch.","njahi dolichos lablab
blackbeans
unpeeled bananas
salt
water","Preparation 10 minutes | Cooking 4 hours 30 minutes | Serves 8
?  Sort the black beans, wash and cook in 23 cups of
water for 4 hours or until ready or soft.
?  Mash the black beans until smooth.
?  Meanwhile, peel the ripe bananas and set aside.
?  Boil the green bananas in 2 1/2 cups of water until
they are soft.
?  Once ready, add the peeled ripe bananas. Add the
rest of the water and salt into the mixture.
?  Let the water come to a boil. Add this mixture into
the mashed black beans.
?  Mash until soft and serve while hot.","Energy 636 kJ/ 151 kcal | Fat 0.6 g | Carbohydrates 26.6 g | Protein 6.4 g | Fibre 6.5 g
Vitamin A 1 mcg | Iron 2.2 mg | Zinc 0.79 mg",151,0.6,26.6,6.4,6.5,1,2.2,0.79,0.6
"Mashed Potatoes
& Bananas",15061,106,"This recipe is common among the Kisii, Kikuyu and Meru communities due to the abundance of the bananas and potatoes in these communities. Sometimes it serves as an infant dish. When served as a main
family dish, it can be eaten with a variety of stews or just a vegetable dish.","potato
bananas
onion
tomato
cooking fat
salt
water","Preparation 10 minutes | Cooking 45 minutes | Serves 4
?  Peel, wash the potatoes and bananas into separate
bowls.
?  Peel, wash and chop the onion. Wash and cut the
tomatoes.
?  Heat the cooking fat in a pan. Add the onion into the
pan and cook until golden brown.
?  Add tomatoes and stir until the tomatoes are cooked
or tender
?  Cut the potatoes and bananas and add into the
cooking pot.
?  Add salt, cover and keep stirring at intervals.
?  Add all the water and bring to a boil.
?  Cook until the potatoes and the green bananas are
tender.
?  Mash to a smooth consistency and serve while food
hot","Energy 750 kJ/ 179 kcal | Fat 8.5 g | Carbohydrates 22.1 g | Protein 2.3 g | Fibre 2.6 g
Vitamin A 4 mcg | Iron 1.4 mg | Zinc 0.36 mg",179,8.5,22.1,2.3,2.6,4,1.4,0.36,0.7
"Mushenye
 (Green Maize and Sweet Potatoes)",15069,108,"This dish is typical to the Luhya community. It is served as a main dish during lunch or dinner. Traditionally
it was eaten plain but can be served with. It usually served with tea.","beans
green maize
sweet potatoes
salt
peanut butter
water","Preparation 20 minutes | Cooking 4 hours 40 minutes | Serves 4
?  Boil beans for 2 hours in 21 cups of water.
?  Remove husks and shell the maize grains into a
bowl.
?  Add the green maize and 4 cups of water to the
cooked beans.
?  Let the maize boil until it is cooked for about 1
hour.
?  Meanwhile peel and wash the sweet potatoes.
?  Add sweet potatoes, peanut butter, salt and the
rest of the water.
?  Cook the sweet potatoes in the maize-bean mixture for 1 hour 15 minutes.
?  Once cooked, mash, remove from heat and serve.","Energy 641 kJ/ 153 kcal | Fat 4.1 g | Carbohydrates 17.6 g | Protein 7.1 g | Fibre 8.6 g
Vitamin A 1 mcg | Iron 2.3 mg | Zinc 1.07 mg",153,4.1,17.6,7.1,8.6,1,2.3,1.07,0.5
"Wukunu
(Sweet Potatoes & Dehulled Black Beans)",15068,110,"Wukunu is a traditional dish common in Taita community. It was commonly served during ceremonies such
as burials, weddings, or other special occasions. Traditionally, it was eaten without any accompaniment.
The modern practice incorporates some vegetables or salad.","black beans
dolichos lablab
sweet potatoes
water
salt","Preparation 15 minutes | Cooking 2 hours 30 minutes | Serves 4
?  Sort the black beans and wash.
?  Boil the beans in 9 cups of water for 1 hour 20 minutes (or until almost cooked).
?  While the beans boil, peel the sweet potatoes and
set aside covered with water.
?  Remove the boiled beans from fire and set aside to
cool.
?  Once cool enough to handle, shell the beans
(remove the outer skin)/ you can also blanch after
cooling the beans to make shelling easier.
?  Put the shelled black beans into a pot, add 4 1/2
cups of water and boil for 4 minutes.
?  Add the peeled sweet potatoes, salt and boil for 50
minutes or until the sweet potatoes are tender
?  Remove from fire and mash to a smooth consistency.
?  Serve","Energy 396 kJ/ 94 kcal | Fat 0.6 g | Carbohydrates 15.8 g | Protein 4.1 g | Fibre 4.6 g
Vitamin A 1 mcg | Iron 1.5 mg | Zinc 0.41 mg",94,0.6,15.8,4.1,4.6,1,1.5,0.41,0.5
"Kimanga Cha Ndizi
(Smoked Green Bananas and Kidney Beans)",0,112,"Kimanga is a traditional dish in the Taita community particularly in the highland part of Taita. It is commonly made from smoked green bananas that gives the dish its characteristic flavour. It is served during lunch
or dinner as a main meal served to the entire family. Traditionally, it was preferred during drought period
due to its filling effect and usually eaten plain.","beans
green bananas
salt
water","Preparation 1 week (for smoking the bananas using a charcoal stove) | Cooking 2 hours 20 minutes 
| Serves 4
?  Boil beans in all the water until they are ready.
?  Without draining the water used to cook the
beans, add the smoked bananas, cover and cook
for 10 minutes.
?  Add salt and stir. Cook until the bananas are soft.
?  Remove and mash.
?  Serve while hot.","Energy 614 kJ/ 146 kcal | Fat 0.9 g | Carbohydrates 24.1 g | Protein 6.5 g | Fibre 7.7 g
Vitamin A 2 mg |  Iron 1.6 mg | Zinc 0.85 mg",146,0.9,24.1,6.5,7.7,2,1.6,0.85,0.5
" Kimanga cha Mihogo
(Mashed Cassava and Pigeon Peas)",15084,114,"This is a variant of the traditional Kimanga among the lowland Taita community and other drier parts of
Taita bordering the Kamba community. It was a choice meal during drought and was liked for its filling
effect. In modern times it is still common and eaten as a main meal during lunch and dinner by the entire
family","cassava
pigeon peas
salt
water","Preparation 10 minutes | Cooking 2 hours 45minutes | 
Serves 4
?  Sort the pigeon peas and wash.
?  Boil 9 1/3 cups of water in a pot and add the pigeon
peas. Boil the peas until soft or ready.
?  Meanwhile as the pigeon peas boil, peel and cut the
cassava into a separate bowl with water.
?  Add 12 cups of water to the boiled peas and add the
cut cassava, and cover.
?  Boil for 15-20 minutes and add salt.
?  Cover and cook until the cassava is tender and ready.
?  Turn off the heat and mash.
?  Serve hot","Energy 823 kJ/ 194 kcal | Fat 0.6 g | Carbohydrates 39.6 g | Protein 4.8 g | Fibre 5.8 g
Vitamin A 4 mg | Iron 1.6 mg | Zinc 0.85 mg",194,0.6,39.6,4.8,5.8,4,1.6,0.85,0.6
"Mashed Potatoes
& Bananas",15103,116,"This is a typical infant dish among many Kenyan communities. It is usually mashed to a light texture and
sometimes served with added milk. Sometimes a green leafy vegetable may be added and mashed together.","potatoes
water
salt","Preparation 10 minutes | Cooking 25 minutes | 
Serves 4
?  Peel the potatoes and clean them.
?  Put them in a cooking pot, add salt and cover
with all the water.
?  Bring to a boil and cook until the potatoes are
ready and tender.
?  Drain any excess water.
?  Mash the potatoes to a smooth consistency and
serve warm.","Energy 449 kJ/ 106 kcal |  Fat 0.2 g | Carbohydrates 22.8 g  | Protein 2.5 g |  Fibre 1.7 g
Vitamin A 0 mcg |  Iron 1.4 mg |  Zinc 0.32 mg",106,0.2,22.8,2.5,1.7,0,1.4,0.32,0.6
"Mashed Bananas 
Plain",15104,118,"This is a typical infant dish among many Kenyan communities. It is usually mashed to a light texture and
sometimes served with added milk. Sometimes a green leafy vegetable may be added and mashed together.","unpeeled bananas
water
salt","Preparation 10 minutes | Cooking 45 minutes | Serves 
4
?  Peel the bananas and clean them.
?  Put in a cooking pot, add all the water and salt.
?  Bring them to boil until the bananas are tender.
?  Mash and serve warm.","Energy 344 kJ/ 81 kcal | Fat 0.3 g | Carbohydrates 16.9 g | Protein 1.2 g | Fibre 3.0 g
Vitamin A 0 mcg | Iron 0.6 mg | Zinc 0.19 mg",81,0.3,16.9,1.2,3,0,0.6,0.19,0.6
"Enriched Mashed 
Potatoes",15105,120,"This is a typical infant dish among many Kenyan communities. It is usually mashed to a light texture and
sometimes served with added milk. Sometimes a green leafy vegetable may be added and mashed together.","potatoes
water
salt
margarine","Preparation 10 minutes | Cooking 55 minutes | 
Serves 4
?  Peel the potatoes, wash and put into a pot.
?  Add all the water and bring to a boil.
?  Add salt and cook until the potatoes are tender and
most water has evaporated. Leave a little water to
help in mashing.
?  Add margarine.
?  Mash the potatoes into a smooth consistency.
?  Remove from heat and serve warm.","Energy 591 kJ/ 141 kcal | Fat 6.2 g | Carbohydrates 18.6 g  | Protein 2 g | Fibre 1.4 g
Vitamin A 51 mcg | Iron 1.1 mg | Zinc 0.26 mg",141,6.2,18.6,2,1.4,51,1.1,0.26,0.6
"Enriched Mashed 
Bananas",15106,122,"This is a typical infant dish among many Kenyan communities. It is usually mashed to a light texture and
sometimes served with added milk. Sometimes a green leafy vegetable may be added and mashed together.","green bananas
water
salt
margarine","Preparation 10 minutes | Cooking 40 minutes | 
Serves 4
?  Peel the bananas, wash and put in a cooking
pot.
?  Add all the water and salt.
?  Boil until the bananas are tender.
?  Add margarine.
?  Mash the bananas into a smooth consistency
and serve warm.","Energy 568 kJ/ 136 kcal |  Fat 7.8 g |  Carbohydrates 14.3 g |  Protein 1 g |  Fibre 2.6 g
Vitamin A 63 mcg |  Iron 0.5 mg  | Zinc 0.16 mg",136,7.8,14.3,1,2.6,63,0.5,0.16,0.6
"Kimito
(Mashed Beans & Potatoes)",15111,124,"Kimito is common among the Embu, Kikuyu and Meru communities. It is served as a main dish during
lunch or dinner and enjoyed by the entire family. Traditionally, this was eaten dry but in modern day this
dish is sometimes accompanied by various stews. It is also served to infants above 6 months of age.","potatoes
beans
salt
cooking oil
water","Preparation 10 minutes | Cooking 3 hours | Serves 4
?  Sort and wash the kidney beans.
?  Put beans and 23 cups of water into a pot. Turn on
the heat and boil until the beans are soft and ready;
about 2 hours 30 minutes.
?  Meanwhile, peel and wash the potatoes.
?  Remove the boiled beans and transfer to a bowl.
?  Put potatoes into a pot and spread the beans on top.
?  Add the rest of the water and salt. Cover and cook
for 50 minutes or until the potatoes are soft and
tender.
?  Drain the excess water if necessary.
?  Add the cooking oil and mash the content to a
smooth consistency.
?  Serve while hot.","Energy 537 kJ/ 127 kcal | Fat 0.8 g | Carbohydrates 21.6 g | Protein 5.7 g  | Fibre 5.4 g
Vitamin A 0 mcg | Iron 2.2 mg | Zinc 0.77 mg",127,0.8,21.6,5.7,5.4,0,2.2,0.77,0.6
"Kimanga cha 
Viazi Vitamu
 (Mashed Sweet Potatoes and Black Beans)",15090,126,"Kimanga is a common name for the mashed dishes among the Taita community. This recipe is particularly
unique as it is a mix of sweet potato and black beans. It is usually eaten plain. It is common in both lowland and highland parts of Taita. To date, this serves as a main meal and is eaten during lunch or dinner.","sweet potatoes
dolichos beans
salt
water","Preparation 15 minutes | Cooking 3 hours | Serves 4
?  Sort the black beans and wash.
?  Put the washed black beans into the cooking pot
and boil in 18 cups of water for 2 hours or until soft.
?  In the meantime, peel and cut the sweet potatoes
and put them in water.
?  Add the peeled sweet potatoes, the rest of the water and salt onto the boiled black beans, cover and
boil until the sweet potatoes are properly cooked or
soft.
?  Turn off the heat and mash.
?  Serve hot.","Energy 472 kJ/ 112 kcal  | Fat 0.5 g  | Carbohydrates 18.9 g |  Protein 5.4 g |  Fibre 5.2 g
Vitamin A 4 mcg  | Iron 1.6 mg  | Zinc 0.63 mg",112,0.5,18.9,5.4,5.2,4,1.6,0.63,0.7
Enriched Matoke,15121,128,"This a typical infant dish among the Kisii community. It is wonderfully enriched with peanut butter paste to
give it a smooth taste. Infants are fed on this from the age of 6 months onwards. Sometimes, this recipe is
made with some green leafy vegetables.","green bananas
peanut butter
salt
water","Preparation 5 minutes | Cooking 25 minutes | Serves 4
?  Peel and wash the bananas.
?  Put the washed bananas into a pot, add salt and all
the water, and bring to a boil.
?  Cook until the bananas are ready and tender.
?  Remove from heat; add the peanut butter and mash.
?  Serve while hot.","Energy 465 kJ/ 111 kcal | Fat 3.5 g |  Carbohydrates 15.8 g | Protein 2.4 g  | Fibre 3.2 g
Vitamin A 0 mcg | Iron 0.9 mg | Zinc 0.32 mg",111,3.5,15.8,2.4,3.2,0,0.9,0.32,0.6
